symbol,strategy,direction,win_rate,signal_date,status,expiration,target_type,atr,entry_price,target_price,stop_price,last_close_price,diff_from_entry,entry_date,exit_date,num_days_open,timeframe,scan_date,donchian_14_d.mean,donchian_14_d.mean_prev,sma_40_d.value,atr_5_d.value,ttm_squeeze_d.momentum,ttm_squeeze_d.momentum_prev,bb_30_20_d.upper,swing_trend_w.color,swing_trend_w.color_prev,atr_5_w.value,cci_14_6_w.cci_short,cci_14_6_w.cci_long,sma_40_w.value,rsqueeze_atr14_w.momentum,rsqueeze_atr14_w.momentum_prev,supertrend_5_023_w.direction,trig_20_8_w.plot1,trig_20_8_w.plot2,trig_20_8_d.plot1,trig_20_8_d.plot2,rsqueeze_4_d.momentum,rsqueeze_20_d.momentum,ichimoku_9_26_52_d.kijun,ichimoku_9_26_52_d.kijun_prev,ichimoku_9_26_52_d.kijun_decrease_count
QQQ,Weekly Turbo Hook Buy,buy,86%,2026-02-05,Target Hit,04/17/26,Weekly ATR5 x 0.55,17.4921,600.19,609.81,n/a,601.92,1.73,2026-02-06,2026-02-06,0,weekly,2026-02-05,,,,,,,,,,17.4921,99.5411,87.2123,578.9763,,,,,,,,,,,,
SPY,Weekly Turbo Hook Buy,buy,92%,2026-02-05,Target Hit,04/17/26,Weekly ATR5 x 0.55,13.3385,681.46,688.8,n/a,681.75,0.29,2026-02-06,2026-02-06,0,weekly,2026-02-05,,,,,,,,,,13.3385,65.9938,97.4306,646.3835,,,,,,,,,,,,
XLK,Weekly Turbo Hook Buy,buy,89%,2026-02-05,Target Hit,04/17/26,Weekly ATR5 x 0.55,5.1443,138.01,140.84,n/a,139.56,1.55,2026-02-06,2026-02-06,0,weekly,2026-02-05,,,,,,,,,,5.1443,38.7612,35.8981,134.093,,,,,,,,,,,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-02-06,Open,04/17/26,Weekly ATR5 x 0.55,1.4243,39.16,39.94,n/a,38.33,-0.83,2026-02-09,,open,weekly,2026-02-06,,,,,,,,gold,gold,1.4243,,,,,,,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-02-06,Open,04/17/26,Weekly ATR5 x 0.55,21.0377,607.54,619.11,n/a,601.92,-5.62,2026-02-09,,open,weekly,2026-02-06,,,,,,,,gold,gold,21.0377,,,,,,,,,,,,,,,
XLV,Weekly Turbo Hook Buy,buy,82%,2026-02-06,Open,04/17/26,Weekly ATR5 x 0.55,4.5057,157.57,160.05,n/a,157.67,0.1,2026-02-09,,open,weekly,2026-02-06,,,,,,,,,,4.5057,32.0767,64.0536,142.8553,,,,,,,,,,,,
XRT,Weekly Turbo Hook Buy,buy,78%,2026-02-06,Open,04/17/26,Weekly ATR5 x 0.55,3.5623,89.5,91.46,n/a,87.84,-1.66,2026-02-09,,open,weekly,2026-02-06,,,,,,,,,,3.5623,7.8185,62.245,82.73,,,,,,,,,,,,
XLF,Donchian Hook Buy,buy,87%,2026-02-09,Open,04/17/26,ATR5 x 1.0,0.7677,53.7,54.47,n/a,51.65,-2.05,2026-02-10,,open,daily,2026-02-09,53.575,53.5525,54.5238,0.7677,,,,,,,,,,,,,,,,,,,,,
VWO,Donchian T-Lines Buy,buy,81%,2026-02-09,Open,04/17/26,ATR5 x 1.0,0.8318,58.02,58.85,n/a,57.75,-0.27,2026-02-10,,open,daily,2026-02-09,56.96,,55.4115,0.8318,,,,,,,,,,,,,,,57.2407,57.1768,,,,,
XHB,Donchian T-Lines Buy,buy,90%,2026-02-09,Target Hit,04/17/26,ATR5 x 1.0,2.6935,118.06,120.75,n/a,121.36,3.3,2026-02-10,2026-02-11,1,daily,2026-02-09,112.735,,109.461,2.6935,,,,,,,,,,,,,,,112.9953,112.6049,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-02-09,Target Hit,04/17/26,Weekly ATR5 x 0.55,1.7934,52.15,53.14,n/a,53.31,1.16,2026-02-10,2026-02-11,1,weekly,2026-02-09,,,,,,,,gold,gold,1.7934,,,,,,,,,,,,,,,
TLT,Donchian Hook Buy,buy,93%,2026-02-10,Target Hit,04/17/26,ATR5 x 1.0,0.6354,88.04,88.68,n/a,89.72,1.68,2026-02-11,2026-02-12,1,daily,2026-02-10,87.4792,87.4592,87.592,0.6354,,,,,,,,,,,,,,,,,,,,,
SPY,Donchian T-Lines Buy,buy,90%,2026-02-10,Open,04/17/26,ATR5 x 1.0,41.1323,696.39,737.52,n/a,681.75,-14.64,2026-02-11,,open,daily,2026-02-10,383.4225,,687.8852,41.1323,,,,,,,,,,,,,,,690.3391,690.2693,,,,,
TLT,Donchian T-Lines Buy,buy,87%,2026-02-10,Target Hit,04/17/26,ATR5 x 1.0,0.6354,88.04,88.68,n/a,89.72,1.68,2026-02-11,2026-02-12,1,daily,2026-02-10,87.4792,,87.592,0.6354,,,,,,,,,,,,,,,87.3021,87.2804,,,,,
UNG,Donchian T-Lines Sell,sell,82%,2026-02-10,Open,04/17/26,ATR5 x 1.0,1.0072,12.06,11.05,n/a,12.44,-0.38,2026-02-11,,open,daily,2026-02-10,14.5425,,12.5995,1.0072,,,,,,,,,,,,,,,14.1663,14.4043,,,,,
XOP,ETF Squeeze Sell,sell,83%,2026-02-10,Target Hit,04/17/26,ATR5 x 1.0,3.539,147.81,144.27,n/a,147.89,-0.08,2026-02-11,2026-02-12,1,daily,2026-02-10,,,,3.539,8.7799,8.8196,147.0788,,,,,,,,,,,,,,,,,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-02-10,Open,04/17/26,Weekly ATR5 x 0.55,1.4243,39.3,40.08,n/a,38.33,-0.97,2026-02-11,,open,weekly,2026-02-10,,,,,,,,gold,gold,1.4243,,,,,,,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-02-10,Open,04/17/26,Weekly ATR5 x 0.55,21.0377,616.38,627.95,n/a,601.92,-14.46,2026-02-11,,open,weekly,2026-02-10,,,,,,,,gold,gold,21.0377,,,,,,,,,,,,,,,
XLV,Weekly Turbo Hook Buy,buy,82%,2026-02-10,Target Hit,04/17/26,Weekly ATR5 x 0.55,4.5057,155.18,157.66,n/a,157.67,2.49,2026-02-11,2026-02-13,2,weekly,2026-02-10,,,,,,,,,,4.5057,32.0767,64.0536,142.8553,,,,,,,,,,,,
XRT,Weekly Turbo Hook Buy,buy,78%,2026-02-10,Open,04/17/26,Weekly ATR5 x 0.55,3.5623,87.91,89.87,n/a,87.84,-0.07,2026-02-11,,open,weekly,2026-02-10,,,,,,,,,,3.5623,7.8185,62.245,82.73,,,,,,,,,,,,
SPY,Squeeze Play Sector Buy,buy,96%,2026-02-11,Open,04/17/26,ATR5 x 1.0,34.4978,694.24,728.74,n/a,681.75,-12.49,2026-02-12,,open,daily,2026-02-11,,,,34.4978,,,,,,,,,,,,,,,691.0186,690.4358,2.5832,166.8497,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-02-11,Open,04/17/26,Weekly ATR5 x 0.55,1.7934,53.67,54.66,n/a,53.31,-0.36,2026-02-12,,open,weekly,2026-02-11,,,,,,,,gold,gold,1.7934,,,,,,,,,,,,,,,
TLT,Donchian Hook Buy,buy,93%,2026-02-12,Open,04/17/26,ATR5 x 1.0,0.7458,89.63,90.38,n/a,89.72,0.09,2026-02-13,,open,daily,2026-02-12,87.8542,87.4792,87.6558,0.7458,,,,,,,,,,,,,,,,,,,,,
XLF,Donchian T-Lines Sell,sell,80%,2026-02-12,Open,04/17/26,ATR5 x 1.0,1.0734,51.55,50.47,n/a,51.65,-0.1,2026-02-13,,open,daily,2026-02-12,52.91,,54.353,1.0734,,,,,,,,,,,,,,,53.1159,53.2572,,,,,
DIA,ETF Squeeze Sell,sell,82%,2026-02-12,Open,04/17/26,ATR5 x 1.0,6.9965,495.04,488.04,n/a,495.28,-0.24,2026-02-13,,open,daily,2026-02-12,,,,6.9965,4.49,5.1153,502.3995,,,,,,,,,,,,,,,,,,
EEM,ETF Squeeze Sell,sell,83%,2026-02-12,Open,04/17/26,ATR5 x 1.0,0.9934,60.72,59.73,n/a,61.12,-0.4,2026-02-13,,open,daily,2026-02-12,,,,0.9934,1.16,1.1656,61.8313,,,,,,,,,,,,,,,,,,
VWO,ETF Squeeze Sell,sell,90%,2026-02-12,Open,04/17/26,ATR5 x 1.0,0.7639,57.46,56.7,n/a,57.75,-0.29,2026-02-13,,open,daily,2026-02-12,,,,0.7639,0.7063,0.7213,58.5748,,,,,,,,,,,,,,,,,,
XLE,ETF Squeeze Sell,sell,81%,2026-02-12,Open,04/17/26,ATR5 x 1.0,1.2003,53.94,52.74,n/a,54.35,-0.41,2026-02-13,,open,daily,2026-02-12,,,,1.2003,3.6385,3.6534,55.1645,,,,,,,,,,,,,,,,,,
XLI,ETF Squeeze Sell,sell,88%,2026-02-12,Open,04/17/26,ATR5 x 1.0,3.0403,173.1,170.06,n/a,174.17,-1.07,2026-02-13,,open,daily,2026-02-12,,,,3.0403,4.8999,5.047,175.3236,,,,,,,,,,,,,,,,,,
XOP,ETF Squeeze Sell,sell,83%,2026-02-12,Open,04/17/26,ATR5 x 1.0,4.2013,144.28,140.08,n/a,147.89,-3.61,2026-02-13,,open,daily,2026-02-12,,,,4.2013,9.0552,9.3346,149.4438,,,,,,,,,,,,,,,,,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-02-12,Open,04/17/26,Weekly ATR5 x 0.55,1.4243,38.14,38.92,n/a,38.33,0.19,2026-02-13,,open,weekly,2026-02-12,,,,,,,,gold,gold,1.4243,,,,,,,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-02-12,Open,04/17/26,Weekly ATR5 x 0.55,21.0377,600.43,612.0,n/a,601.92,1.49,2026-02-13,,open,weekly,2026-02-12,,,,,,,,gold,gold,21.0377,,,,,,,,,,,,,,,
XLV,Weekly Turbo Hook Buy,buy,82%,2026-02-12,Open,04/17/26,Weekly ATR5 x 0.55,4.5057,156.52,159.0,n/a,157.67,1.15,2026-02-13,,open,weekly,2026-02-12,,,,,,,,,,4.5057,32.0767,64.0536,142.8553,,,,,,,,,,,,
XRT,Weekly Turbo Hook Buy,buy,78%,2026-02-12,Open,04/17/26,Weekly ATR5 x 0.55,3.5623,87.24,89.2,n/a,87.84,0.6,2026-02-13,,open,weekly,2026-02-12,,,,,,,,,,3.5623,7.8185,62.245,82.73,,,,,,,,,,,,
XLV,Donchian Hook Buy,buy,89%,2026-02-13,n/a,04/17/26,ATR5 x 1.0,2.2766,n/a,n/a,n/a,157.67,,n/a,,n/a,daily,2026-02-13,156.045,155.8078,156.1318,2.2766,,,,,,,,,,,,,,,,,,,,,
TLT,Weekly 10.5 Squeeze Buy,buy,83%,2026-02-13,n/a,04/17/26,Weekly ATR5 x 0.55,1.5937,n/a,n/a,n/a,89.72,,n/a,,n/a,weekly,2026-02-13,,,,,,,,,,1.5937,,,87.8925,-1.7294,-1.9551,-1.0,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-02-13,n/a,04/17/26,Weekly ATR5 x 0.55,2.0097,n/a,n/a,n/a,53.31,,n/a,,n/a,weekly,2026-02-13,,,,,,,,gold,gold,2.0097,,,,,,,,,,,,,,,
SPY,Weekly Turbo Hook Buy,buy,92%,2026-02-13,n/a,04/17/26,Weekly ATR5 x 0.55,112.9334,n/a,n/a,n/a,681.75,,n/a,,n/a,weekly,2026-02-13,,,,,,,,,,112.9334,35.6417,41.2979,652.4152,,,,,,,,,,,,
