symbol,strategy,direction,win_rate,signal_date,status,expiration,target_type,atr,entry_price,target_price,stop_price,last_close_price,diff_from_entry,entry_date,exit_date,num_days_open
6C,Swing Trend Currency Futures Sell,sell,78%,11/03/25,Target Hit,,ATR5 x 0.6,,0.7135,0.7119,0.7187,0.7311,-0.01759999999999995,2025-11-04,2025-11-05,1
6B,Super Bull Currency Futures Buy,buy,72%,11/07/25,Expired - Entry Not Triggered,,ATR5 x 0.6,,1.3189,1.32332,1.3031,1.351,0.03210000000000002,,,Expired
6C,TXD Trendlines Currency Futures Buy,buy,84%,11/12/25,Expired - Entry Not Triggered,,ATR5 x 0.6,,0.72,0.7213,0.7164,0.7311,0.011099999999999999,,,Expired
6S,D2 Swing Currency Futures Sell,sell,85%,11/21/25,Expired - Entry Not Triggered,,ATR5 x 0.6,,1.2492,1.24443,1.2613,1.2955,-0.04630000000000001,,,Expired
RTY,T-Lines Index Futures Buy,buy,80%,11/26/25,Target Hit,,ATR5 x 0.6,,2510.8,2545.61981,2429.55379,2662.3,151.5,2025-11-28,2025-12-04,4
NQ,D3 Index Futures Buy,buy,84%,11/26/25,Target Hit,,ATR5 x 0.6,,25631.5,25980.67615,24816.75565,25077.5,-554.0,2025-11-28,2025-12-05,5
6C,Ichimoku Cross Currency Futures Buy,buy,,12/02/25,Target Hit,,ATR5 x 0.6,,0.7209,0.72259,0.7161,0.7311,0.010199999999999987,2025-12-03,2025-12-05,2
6B,TXD Trendlines Currency Futures Buy,buy,82%,12/03/25,Target Hit,,ATR5 x 0.6,,1.3366,1.34182,1.3169,1.351,0.014399999999999968,2025-12-04,2025-12-11,5
6E,Stochastics ÒDÓ Currency Futures Buy,buy,97%,12/10/25,Target Hit,,ATR5 x 0.6,,1.1771,1.18032,1.1657,1.1802,0.0030999999999998806,2025-12-11,2025-12-15,2
6E,Squeeze Play Currency Futures Buy,buy,86%,12/10/25,Target Hit,,ATR5 x 0.6,,1.1771,1.18032,1.1662,1.1802,0.0030999999999998806,2025-12-11,2025-12-15,2
6B,TXD Trendlines Currency Futures Buy,buy,82%,01/12/26,Stopped out,,ATR5 x 0.6,,1.35,1.35471,1.3355,1.351,0.0009999999999998899,2026-01-13,2026-01-20,4
6A,TNT 52 Currency Futures Sell,sell,90%,01/14/26,Expired - Entry Not Triggered,,ATR5 x 0.6,,0.6664,0.66391,0.6738,0.7097,-0.043300000000000005,,,Expired
ES,14.8 Trig Extension Index Futures Sell,sell,,01/20/26,Stopped out,,ATR5 x 0.6,,6856.075,6903.57763,6745.23553,6912.5,-56.42500000000018,2026-01-21,2026-01-22,1
NQ,14.8 Trig Extension Index Futures Sell,sell,,01/20/26,Stopped out,,ATR5 x 0.6,,25208.275,25444.39097,24657.33773,25077.5,130.77500000000146,2026-01-21,2026-01-22,1
YM,14.8 Trig Extension Index Futures Sell,sell,,01/20/26,Stopped out,,ATR5 x 0.6,,48826.1,49178.47181,48003.89911,49285.0,-458.90000000000146,2026-01-21,2026-01-22,1
6A,TXD Trendlines Currency Futures Buy,buy,85%,01/20/26,Target Hit,,ATR5 x 0.6,,0.6758,0.67867,0.6662,0.7097,0.03390000000000004,2026-01-21,2026-01-22,1
